Batter,Runs,Balls,Fours,Sixes,StrikeRate
V Suryavanshi,776,344,63,72,225.58139534883722
Shubman Gill,732,472,74,33,155.08474576271186
B Sai Sudharsan,722,481,75,30,150.1039501039501
V Kohli,675,425,73,25,158.8235294117647
H Klaasen,624,413,48,31,151.08958837772397
Ishan Kishan,602,342,60,32,176.0233918128655
KL Rahul,593,355,56,31,167.04225352112675
Abhishek Sharma,563,304,50,43,185.19736842105263
MR Marsh,563,358,51,36,157.26256983240222
JC Buttler,526,352,51,26,149.4318181818182
Dhruv Jurel,515,345,47,24,149.27536231884056
P Simran Singh,510,316,55,23,161.39240506329114
RM Patidar,501,276,30,42,181.52173913043478
SS Iyer,498,306,39,30,162.7450980392157
C Connolly,491,316,43,32,155.37974683544306
SV Samson,477,295,53,24,161.6949152542373
D Padikkal,464,283,49,24,163.95759717314488
RD Rickelton,448,247,31,38,181.3765182186235
YBK Jaiswal,427,296,52,18,144.25675675675674
A Raghuvanshi,422,302,40,19,139.73509933774835
TM Head,410,253,46,23,162.05533596837944
Washington Sundar,377,263,40,12,143.34600760456274
Priyansh Arya,364,181,27,32,201.10497237569064
Tilak Varma,359,255,30,17,140.7843137254902
FH Allen,349,168,33,28,207.73809523809524
RD Gaikwad,337,291,29,12,115.80756013745706
AM Rahane,335,258,25,18,129.84496124031008
C Green,322,230,22,17,140.0
Naman Dhir,318,218,31,13,145.87155963302752
D Ferreira,317,181,26,23,175.13812154696134
RR Pant,313,235,30,11,133.19148936170214
R Parag,309,203,24,21,152.2167487684729
TH David,305,173,22,23,176.30057803468208
Nithish Kumar Reddy,302,184,19,21,164.1304347826087
RK Singh,299,212,28,11,141.03773584905662
Kartik Sharma,295,220,24,16,134.0909090909091
RG Sharma,283,184,21,21,153.80434782608697
P Nissanka,278,180,33,12,154.44444444444446
T Stubbs,275,225,18,9,122.22222222222223
S Dube,270,189,24,15,142.85714285714286
SA Yadav,270,193,28,10,139.89637305699483
JP Inglis,266,151,32,12,176.158940397351
RA Jadeja,266,209,24,5,127.27272727272727
Sameer Rizvi,252,178,15,17,141.57303370786516
N Pooran,234,196,11,19,119.38775510204083
AK Markram,231,171,20,11,135.08771929824562
KH Pandya,226,163,20,11,138.65030674846625
N Rana,225,158,27,10,142.40506329113924
MP Stoinis,216,131,23,11,164.8854961832061
A Badoni,215,145,23,9,148.27586206896552
DA Miller,211,146,15,14,144.5205479452055
VR Iyer,209,116,21,13,180.17241379310346
HH Pandya,206,154,21,7,133.76623376623377
PD Salt,202,123,16,11,164.22764227642276
A Mhatre,201,119,20,12,168.9075630252101
R Powell,190,148,16,10,128.3783783783784
R Tewatia,190,143,20,8,132.86713286713288
AR Patel,173,146,16,6,118.49315068493152
Ashutosh Sharma,171,100,15,12,171.0
MD Choudhary,170,122,11,12,139.34426229508196
SN Khan,161,100,23,6,161.0
Suryansh Shedge,158,92,9,12,171.73913043478262
D Brevis,151,127,8,10,118.8976377952756
WG Jacks,139,79,12,9,175.9493670886076
J Overton,136,91,13,6,149.45054945054946
Q de Kock,132,85,9,9,155.29411764705884
Shashank Singh,132,78,11,8,169.23076923076923
Urvil Patel,129,68,6,14,189.70588235294116
SE Rutherford,123,83,5,12,148.19277108433735
S Arora,121,81,9,9,149.3827160493827
JM Sharma,116,96,9,6,120.83333333333333
Abdul Samad,116,92,10,5,126.08695652173914
Abishek Porel,108,94,15,1,114.89361702127661
JG Bethell,96,81,12,3,118.5185185185185
Himmat Singh,92,74,5,5,124.32432432432432
PR Veer,90,72,10,3,125.0
R Shepherd,83,68,6,5,122.05882352941177
Ramandeep Singh,82,70,8,2,117.14285714285715
SB Dubey,81,61,8,3,132.78688524590163
Aniket Verma,79,57,6,5,138.5964912280702
SO Hetmyer,78,74,5,3,105.40540540540539
MK Pandey,70,51,8,2,137.2549019607843
GD Phillips,67,57,4,2,117.54385964912282
N Wadhera,65,61,4,4,106.55737704918033
JO Holder,65,55,3,3,118.18181818181819
JC Archer,64,49,4,4,130.6122448979592
MD Shanaka,63,48,3,4,131.25
N Sindhu,63,51,7,2,123.52941176470588
MW Short,60,54,6,1,111.11111111111111
A Kamboj,58,40,3,4,145.0
Shahbaz Ahmed,58,41,4,3,141.46341463414635
Shivang Kumar,53,50,6,1,106.0
AS Roy,52,41,3,2,126.82926829268293
Azmatullah Omarzai,52,28,3,5,185.71428571428572
M Jansen,51,50,1,3,102.0
Rashid Khan,50,45,4,2,111.11111111111111
C Bosch,50,31,5,2,161.29032258064515
K Rabada,47,40,5,2,117.5
SU Parakh,46,33,5,2,139.3939393939394
M Shahrukh Khan,43,34,3,2,126.47058823529412
SP Narine,40,34,2,4,117.64705882352942
Salil Arora,35,25,2,2,140.0
B Kumar,34,28,3,1,121.42857142857142
GF Linde,31,21,6,0,147.61904761904762
Mohammed Shami,31,23,2,3,134.7826086956522
PJ Cummins,30,20,1,3,150.0
XC Bartlett,29,14,2,2,207.14285714285717
Akshat Raghuwanshi,29,27,1,1,107.40740740740742
MJ Santner,26,21,3,0,123.80952380952381
TU Deshpande,26,14,0,3,185.71428571428572
DL Chahar,25,19,3,1,131.57894736842107
SN Thakur,24,33,2,0,72.72727272727273
Arshad Khan,23,12,1,2,191.66666666666669
TL Seifert,19,18,2,1,105.55555555555556
R Smaran,19,25,3,0,76.0
KK Nair,18,18,3,0,100.0
M Tiwari,18,8,2,1,225.0
Kumar Kushagra,18,14,3,0,128.57142857142858
AA Kulkarni,17,25,1,0,68.0
RA Bawa,16,14,1,0,114.28571428571428
LS Livingstone,15,26,0,1,57.692307692307686
V Nigam,15,10,2,0,150.0
Vishnu Vinod,15,8,1,1,187.5
N Burger,14,9,0,1,155.55555555555557
Auqib Nabi,14,4,2,1,350.0
Harsh Dubey,13,11,2,0,118.18181818181819
T Dahiya,12,15,2,0,80.0
KA Jamieson,12,14,1,1,85.71428571428571
Noor Ahmad,11,24,0,1,45.83333333333333
Kartik Tyagi,11,10,1,1,110.00000000000001
Krish Bhagat,10,21,0,0,47.61904761904761
HV Patel,10,9,2,0,111.11111111111111
Kuldeep Yadav,9,23,0,0,39.130434782608695
TA Boult,8,4,0,1,200.0
JJ Bumrah,7,8,1,0,87.5
MJ Henry,7,10,1,0,70.0
E Malinga,7,18,0,0,38.88888888888889
LG Pretorius,7,8,0,0,87.5
M Prasidh Krishna,6,7,1,0,85.71428571428571
R Minz,6,4,1,0,150.0
Avesh Khan,6,7,1,0,85.71428571428571
DA Payne,6,5,0,0,120.0
CV Varun,5,6,1,0,83.33333333333334
Arjun Tendulkar,5,5,0,0,100.0
Sakib Hussain,5,7,1,0,71.42857142857143
AJ Hosein,5,3,0,0,166.66666666666669
Mohammed Siraj,5,17,1,0,29.411764705882355
MP Yadav,5,6,1,0,83.33333333333334
Harpreet Brar,5,3,1,0,166.66666666666669
SR Dubey,4,2,1,0,200.0
JD Unadkat,4,3,0,0,133.33333333333331
L Ngidi,4,7,0,0,57.14285714285714
Ravi Singh,4,2,1,0,200.0
PP Hinge,3,9,0,0,33.33333333333333
Rasikh Salam,3,3,0,0,100.0
AF Milne,2,2,0,0,100.0
Brijesh Sharma,2,4,0,0,50.0
DS Rathi,2,5,0,0,40.0
AM Ghazanfar,2,3,0,0,66.66666666666666
DV Malewar,2,5,0,0,40.0
Vijaykumar Vyshak,2,4,0,0,50.0
Mukesh Choudhary,2,2,0,0,100.0
Ashok Sharma,1,5,0,0,20.0
Ashwani Kumar,1,6,0,0,16.666666666666664
VG Arora,1,3,0,0,33.33333333333333
Arshdeep Singh,1,1,0,0,100.0
T Natarajan,1,2,0,0,50.0
SS Mishra,1,3,0,0,33.33333333333333
A Nortje,0,1,0,0,0.0
Prince Yadav,0,1,0,0,0.0
MA Starc,0,2,0,0,0.0
Mohsin Khan,0,4,0,0,0.0
JR Hazlewood,0,1,0,0,0.0
PVD Chameera,0,3,0,0,0.0
SH Johnson,0,1,0,0,0.0
Ravi Bishnoi,0,3,0,0,0.0
