Bowler,Balls,Runs,Wickets,Overs,Economy
B Kumar,391,504,30,65.16666666666667,7.734015345268542
K Rabada,400,631,29,66.66666666666667,9.465
JC Archer,379,566,29,63.166666666666664,8.96042216358839
A Kamboj,315,535,24,52.5,10.19047619047619
E Malinga,351,510,21,58.5,8.717948717948717
Rashid Khan,348,527,21,58.0,9.086206896551724
Prince Yadav,331,469,20,55.166666666666664,8.501510574018127
Mohammed Siraj,386,570,20,64.33333333333333,8.860103626943006
Rasikh Salam,272,407,20,45.333333333333336,8.977941176470587
Kartik Tyagi,317,504,19,52.833333333333336,9.53943217665615
M Prasidh Krishna,242,408,18,40.333333333333336,10.115702479338843
JO Holder,236,292,17,39.333333333333336,7.423728813559322
SP Narine,309,350,17,51.5,6.796116504854369
Sakib Hussain,274,399,16,45.666666666666664,8.737226277372264
JR Hazlewood,322,506,15,53.666666666666664,9.428571428571429
AM Ghazanfar,237,390,15,39.5,9.873417721518987
KH Pandya,313,427,14,52.166666666666664,8.185303514376997
L Ngidi,255,342,14,42.5,8.047058823529412
J Overton,176,254,14,29.333333333333332,8.65909090909091
Arshdeep Singh,347,542,14,57.833333333333336,9.371757925072046
PP Hinge,168,307,14,28.0,10.964285714285714
N Burger,278,465,14,46.333333333333336,10.035971223021582
Noor Ahmad,314,443,14,52.333333333333336,8.464968152866241
Brijesh Sharma,297,452,14,49.5,9.131313131313131
C Bosch,126,197,13,21.0,9.380952380952381
MA Starc,140,225,13,23.333333333333332,9.642857142857144
YS Chahal,262,389,13,43.666666666666664,8.908396946564887
SN Thakur,150,270,12,25.0,10.8
CV Varun,255,363,12,42.5,8.541176470588235
VG Arora,241,396,12,40.166666666666664,9.858921161825727
Mohammed Shami,327,468,12,54.5,8.587155963302752
Ravi Bishnoi,164,259,12,27.333333333333332,9.475609756097562
Mohsin Khan,171,235,11,28.5,8.24561403508772
AR Patel,268,365,11,44.666666666666664,8.171641791044777
Shivang Kumar,240,376,11,40.0,9.4
RA Jadeja,202,283,10,33.666666666666664,8.405940594059407
Kuldeep Yadav,226,384,10,37.666666666666664,10.194690265486726
Vijaykumar Vyshak,194,333,10,32.333333333333336,10.298969072164947
AS Roy,184,264,9,30.666666666666668,8.608695652173912
Suyash Sharma,253,380,9,42.166666666666664,9.011857707509883
Yash Raj Punja,186,281,9,31.0,9.064516129032258
Mukesh Choudhary,178,257,9,29.666666666666668,8.662921348314606
Nithish Kumar Reddy,197,326,9,32.833333333333336,9.928934010152284
JA Duffy,156,266,9,26.0,10.23076923076923
M Jansen,294,492,9,49.0,10.040816326530612
AJ Hosein,151,198,9,25.166666666666668,7.8675496688741715
PJ Cummins,201,310,8,33.5,9.253731343283581
