MatchID,Innings,BattingTeam,BowlingTeam,Over,Ball,Batter,Bowler,NonStriker,Runs_Batter,Runs_Extras,Runs_Total,Wicket
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,1,TM Head,JA Duffy,Abhishek Sharma,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,2,TM Head,JA Duffy,Abhishek Sharma,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,3,Abhishek Sharma,JA Duffy,TM Head,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,4,Abhishek Sharma,JA Duffy,TM Head,6,0,6,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,5,Abhishek Sharma,JA Duffy,TM Head,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,6,Abhishek Sharma,JA Duffy,TM Head,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1,TM Head,B Kumar,Abhishek Sharma,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,2,Abhishek Sharma,B Kumar,TM Head,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,3,TM Head,B Kumar,Abhishek Sharma,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,4,Abhishek Sharma,B Kumar,TM Head,0,1,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,5,Abhishek Sharma,B Kumar,TM Head,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,6,Abhishek Sharma,B Kumar,TM Head,0,1,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,7,Abhishek Sharma,B Kumar,TM Head,0,1,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,8,TM Head,B Kumar,Abhishek Sharma,4,0,4,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,1,Abhishek Sharma,JA Duffy,TM Head,0,1,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,2,Abhishek Sharma,JA Duffy,TM Head,0,0,0,1
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,3,Ishan Kishan,JA Duffy,TM Head,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,4,TM Head,JA Duffy,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,5,TM Head,JA Duffy,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,6,TM Head,JA Duffy,Ishan Kishan,4,0,4,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,7,TM Head,JA Duffy,Ishan Kishan,0,0,0,1
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3,1,Ishan Kishan,B Kumar,Nithish Kumar Reddy,4,0,4,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3,2,Ishan Kishan,B Kumar,Nithish Kumar Reddy,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3,3,Nithish Kumar Reddy,B Kumar,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3,4,Nithish Kumar Reddy,B Kumar,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3,5,Nithish Kumar Reddy,B Kumar,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3,6,Nithish Kumar Reddy,B Kumar,Ishan Kishan,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4,1,Nithish Kumar Reddy,JA Duffy,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4,2,Nithish Kumar Reddy,JA Duffy,Ishan Kishan,0,0,0,1
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4,3,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4,4,H Klaasen,JA Duffy,Ishan Kishan,3,0,3,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4,5,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4,6,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5,1,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5,2,Ishan Kishan,Abhinandan Singh,H Klaasen,6,0,6,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5,3,Ishan Kishan,Abhinandan Singh,H Klaasen,4,0,4,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5,4,Ishan Kishan,Abhinandan Singh,H Klaasen,6,0,6,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5,5,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5,6,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6,1,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6,2,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6,3,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6,4,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6,5,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6,6,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,0
1527674,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,7,1,H Klaasen,R Shepherd,Ishan Kishan,1,0,1,0
