MatchID,Date,Team1,Team2,Venue,Winner,TossWinner,TossDecision
1527674,2026-03-28,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Royal Challengers Bengaluru,field
1527675,2026-03-29,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,Mumbai Indians,field
1527676,2026-03-30,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Rajasthan Royals,field
1527677,2026-03-31,Gujarat Titans,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,Punjab Kings,field
1527678,2026-04-01,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,Delhi Capitals,field
1527679,2026-04-02,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,field
1527680,2026-04-03,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,Punjab Kings,field
1527681,2026-04-04,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Delhi Capitals,field
1527682,2026-04-04,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Rajasthan Royals,bat
1527683,2026-04-05,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,Lucknow Super Giants,field
1527684,2026-04-05,Royal Challengers Bengaluru,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,field
1527685,2026-04-06,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",,Kolkata Knight Riders,bat
1527686,2026-04-07,Rajasthan Royals,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Mumbai Indians,field
1527687,2026-04-08,Gujarat Titans,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Delhi Capitals,field
1527688,2026-04-09,Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",Lucknow Super Giants,Lucknow Super Giants,field
1527689,2026-04-10,Royal Challengers Bengaluru,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Rajasthan Royals,field
1527690,2026-04-11,Sunrisers Hyderabad,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,Punjab Kings,field
1527691,2026-04-11,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,field
1527692,2026-04-12,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,Gujarat Titans,field
1527693,2026-04-12,Royal Challengers Bengaluru,Mumbai Indians,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,field
1529264,2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,field
1529265,2026-04-14,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,field
